Rep Detail Report: Cameron Allison,,,,,,,,,,,,,,
Generated: 2025-12-18 06:57:19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Total Accounts (after alignment):,Total 2024 Revenue: ,Total 2025 Revenue:,Accounts Removed (Floor):,Revenue Removed (Floor): ,Final Accounts (Keeping):,Final Revenue (Keeping):,Zero Revenue Accounts:,Zero Revenue New 2025 Accounts: ,,,,,,
24,11120642.92,8828535.41,0,0.0,24,8828535.41,2,0,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
,Accounts,Revenue,Removed,,,,,,,,,,
Group 1 High Potential: ,9,7338519.03,0,,,,,,,,,,
Group 1 Medium Potential: ,6,1441245.95,0,,,,,,,,,,
Group 2 Medium Potential: ,3,32927.13,0,,,,,,,,,,
Group 2 High Potential: ,2,12467.3,0,,,,,,,,,,
Group 3 Low Potential: ,4,3376.0,0,,,,,,,,,,
Totals,24,8828535.41,0,,,,,,,,,,
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 15 accounts | 8779764.98 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1000734,"Wayfair, LLC",E-TAILER,MASS,4940008.32,4420455.54,50258,44381,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,9/17/2019,FALSE,70.0,FALSE
1003732,Rugsdirect.com,E-TAILER,NICHE,2208645.85,1968133.09,9622,9240,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/22/2019,FALSE,71.2,FALSE
1003738,Overstock.Com,E-TAILER,MASS,1074716.78,437526.97,9975,4858,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,12/29/2019,FALSE,63.2,FALSE
1003800,Lulu and Georgia,E-TAILER,SPECIALTY,689446.39,417340.64,2708,1396,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,9/2/2019,FALSE,65.6,FALSE
1012850,"Lowe's Home Centers, LLC",E-TAILER,SPECIALTY,460406.8,274324.42,2165,1303,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/20/2020,FALSE,64.0,FALSE
1007839,Homedepot.com,E-TAILER,MASS,391602.23,270061.83,2090,2075,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,1/2/2020,FALSE,65.0,FALSE
1003747,Payless Rugs,E-TAILER,NICHE,125701.2,217686.25,248,418,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/21/2019,FALSE,76.9,FALSE
1012814,Incredible Rugs and Decor,RETAIL,SINGLE_LOCATION,343470.59,191662.25,576,388,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,3/12/2020,FALSE,71.7,FALSE
1009866,Kathykuohome.com,E-TAILER,SPECIALTY,98009.95,131664.1,402,509,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,10/29/2019,FALSE,71.7,FALSE
1005889,"Havenly, Inc.",E-TAILER,SPECIALTY,116288.3,113991.9,654,688,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,8/4/2019,FALSE,71.4,FALSE
1026773,Amazon 3P,E-TAILER,SPECIALTY,0.0,103523.86,0,373,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,2/28/2025,TRUE,77.2,FALSE
1008800,"Houzz, Inc.",E-TAILER,MASS,95421.26,98374.95,313,388,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,1/2/2020,FALSE,70.5,FALSE
1003750,Plushrugs.Com,E-TAILER,NICHE,57103.3,93027.09,193,304,HIGH_REVENUE,HIGH_POTENTIAL,Group 1 High Potential,12/5/2019,FALSE,74.8,FALSE
1001889,One Kings Lane,E-TAILER,SPECIALTY,23663.08,21423.71,141,129,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,11/28/2019,FALSE,65.5,FALSE
1005713,"DecoratorsBest, LLC",E-TAILER,SPECIALTY,29283.8,20568.38,189,88,HIGH_REVENUE,MID_POTENTIAL,Group 1 Medium Potential,3/17/2023,FALSE,63.5,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 5 accounts | 45394.43 revenue,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1013801,"Wayfair, LLC - CASTLEGATE",E-TAILER,MASS,332759.29,14869.98,5815,277,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,8/1/2019,FALSE,58.4,FALSE
1007664,Target Corporation,E-TAILER,MASS,86458.18,13254.15,1310,585,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,12/31/2019,FALSE,55.5,FALSE
1037540,Dev Rugs Collection,INTERNAL,EMPLOYEEFRIENDFAMILY,0.0,7372.8,0,1,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,9/10/2025,TRUE,34.9,FALSE
1012640,"Paynes Gray, Inc.",E-TAILER,SPECIALTY,2687.8,5094.5,15,21,MID_REVENUE,HIGH_POTENTIAL,Group 2 High Potential,1/14/2020,FALSE,72.9,FALSE
1008298,"YDesign Group, LLC and lumens.com",E-TAILER,SPECIALTY,6708.6,4803.0,48,33,MID_REVENUE,MID_POTENTIAL,Group 2 Medium Potential,2/3/2020,FALSE,59.5,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 4 accounts | 3376.00 revenue,,,,,,,,,,,,,,
(Non-DESIGN accounts or New 2025 customers - protected from floor),,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1005353,"Urban Outfitters, Inc.",E-TAILER,SPECIALTY,9697.0,2221.0,134,34,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,8/27/2019,FALSE,0.0,FALSE
1003952,Cost Plus World Market,E-TAILER,MASS,10219.5,1155.0,76,7,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,12/27/2019,FALSE,30.5,FALSE
1003769,Burkedecor.Com,E-TAILER,SPECIALTY,17864.4,0.0,404,1,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,10/19/2019,FALSE,0.0,FALSE
1002158,Modernrugs.Com,E-TAILER,NICHE,480.3,0.0,3,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,3/30/2020,FALSE,0.0,FALSE
,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
ZERO REVENUE ACCOUNTS: 2 total | 2 keeping | 0 removed,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,
Account_ID,Account_Name,Segment,Sub_Segment,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Revenue_Tier,Potential_Tier,Segment_Label,Customer_Since_Date,Is_New_2025,Composite_Score,Floor_Removed
1002158,Modernrugs.Com,E-TAILER,NICHE,480.3,0.0,3,0,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,3/30/2020,FALSE,0.0,FALSE
1003769,Burkedecor.Com,E-TAILER,SPECIALTY,17864.4,0.0,404,1,LOW_REVENUE,LOW_POTENTIAL,Group 3 Low Potential,10/19/2019,FALSE,0.0,FALSE
,,,,,,,,,,,,,,
