Rep Detail Report V2: Jaipur Web Team,,,,,,,,,,,,,,,
Generated: 2025-12-21 18:25:46,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025
86,0,308444.6,166600.23,0,1,-1,-1.16,0.0,0.0,0.0,0.0,85,166600.23,0,0.0,0,60,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 2 Medium Potential: ,11,78632.2,0,0,,,,,,,,,,
Group 1 High Potential: ,2,64706.94,0,0,,,,,,,,,,
Group 2 High Potential: ,2,13087.5,0,0,,,,,,,,,,
Group 3 Medium Potential: ,4,5843.0,0,0,,,,,,,,,,
Group 3 High Potential: ,2,2424.0,0,0,,,,,,,,,,
Group 3 Low Potential: ,64,1906.59,0,0,,,,,,,,,,
Totals,85,166600.23,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 2 accounts | $64706.94 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1036475,Anthropologie,E-TAILER,SPECIALTY,Group 1 High Potential,Jaipur Web Team,Jaipur Web Team,0.0,43992.0,0,150,TRUE,N,FALSE,FALSE,N
1036173,Montreal Lighting & Hardware DBA The Rug District,E-TAILER,SPECIALTY,Group 1 High Potential,Jaipur Web Team,Jaipur Web Team,0.0,20714.94,0,39,TRUE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 2 (MID REVENUE) - KEEPING: 13 accounts | $91719.70 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1015795,Overstock.com - SOFS Programs,E-TAILER,MASS,Group 2 Medium Potential,Jaipur Web Team,Jaipur Web Team,17214.3,11429.78,304,4,FALSE,N,FALSE,FALSE,N
1008535,"Stitch Industries, Joybird.com",E-TAILER,SPECIALTY,Group 2 Medium Potential,Jaipur Web Team,Jaipur Web Team,30107.6,11250.8,125,48,FALSE,N,FALSE,FALSE,N
1014227,Crane and Canopy Inc,E-TAILER,SPECIALTY,Group 2 High Potential,Jaipur Web Team,Jaipur Web Team,2535.0,9765.0,4,10,FALSE,N,FALSE,FALSE,N
1022325,"The Well Appointed House, LLC",E-TAILER,SPECIALTY,Group 2 Medium Potential,Jaipur Web Team,Jaipur Web Team,4808.0,9719.0,11,15,FALSE,N,FALSE,FALSE,N
1005886,P3 Ventures dba English Elm,E-TAILER,SPECIALTY,Group 2 Medium Potential,Jaipur Web Team,Jaipur Web Team,26560.5,8949.0,37,16,FALSE,N,FALSE,FALSE,N
1003791,"Lamps Plus, Inc.",E-TAILER,MASS,Group 2 Medium Potential,Jaipur Web Team,Jaipur Web Team,17962.0,8757.72,164,94,FALSE,N,FALSE,FALSE,N
1016214,Hudson & Vine,E-TAILER,SPECIALTY,Group 2 Medium Potential,Jaipur Web Team,Jaipur Web Team,12475.1,6704.4,104,52,FALSE,N,FALSE,FALSE,N
1003755,"Gilt Groupe, Inc.",E-TAILER,SPECIALTY,Group 2 Medium Potential,Jaipur Web Team,Jaipur Web Team,6211.75,5534.0,67,59,FALSE,N,FALSE,FALSE,N
1016167,BENCHMADE MODERN INC,E-TAILER,SPECIALTY,Group 2 Medium Potential,Jaipur Web Team,Jaipur Web Team,1215.0,4810.0,1,4,FALSE,N,FALSE,FALSE,N
1003996,THE RUG DISTRICT,E-TAILER,NICHE,Group 2 Medium Potential,Jaipur Web Team,Jaipur Web Team,32731.1,4078.5,67,10,FALSE,N,FALSE,FALSE,N
1003757,Rue Gilt Groupe Inc.,E-TAILER,SPECIALTY,Group 2 Medium Potential,Jaipur Web Team,Jaipur Web Team,3895.5,3951.0,59,46,FALSE,N,FALSE,FALSE,N
1008759,"Gracious Style, Inc. dba graciousst",E-TAILER,SPECIALTY,Group 2 Medium Potential,Jaipur Web Team,Jaipur Web Team,6150.0,3448.0,15,7,FALSE,N,FALSE,FALSE,N
1037019,Rugman.com,E-TAILER,SPECIALTY,Group 2 High Potential,Jaipur Web Team,Jaipur Web Team,0.0,3322.5,0,8,TRUE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 70 accounts | $10173.59 revenue,,,,,,,,,,,,,,,
(Protected accounts - not flagged for floor removal),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1002818,Goingdecor.Com,E-TAILER,SPECIALTY,Group 3 Medium Potential,Jaipur Web Team,Jaipur Web Team,50235.99,1815.0,105,3,FALSE,N,FALSE,FALSE,N
1037503,Vida ATX LLC,E-TAILER,SPECIALTY,Group 3 High Potential,Jaipur Web Team,Jaipur Web Team,0.0,1586.0,0,4,TRUE,N,FALSE,FALSE,N
1006913,"Novica United, Inc.",E-TAILER,SPECIALTY,Group 3 Medium Potential,Jaipur Web Team,Jaipur Web Team,7108.0,1583.0,30,14,FALSE,N,FALSE,FALSE,N
1021182,Rugs by Roo Inc.,E-TAILER,SPECIALTY,Group 3 Medium Potential,Jaipur Web Team,Jaipur Web Team,1704.0,1326.0,16,12,FALSE,N,FALSE,FALSE,N
1025070,Urban Ambiance Inc.,E-TAILER,SPECIALTY,Group 3 Medium Potential,Jaipur Web Team,Jaipur Web Team,1249.0,1119.0,7,11,FALSE,N,FALSE,FALSE,N
1037303,Manhattan Home Design,E-TAILER,SPECIALTY,Group 3 High Potential,Jaipur Web Team,Jaipur Web Team,0.0,838.0,0,5,TRUE,N,FALSE,FALSE,N
1015232,Brooke and Lou,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,9595.0,590.0,5,2,FALSE,N,FALSE,FALSE,N
1014197,Shopping Idea USA,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,11415.0,552.0,15,11,FALSE,N,FALSE,FALSE,N
1025272,Sitara Direct dba Kaspene Home,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,33914.94,395.34,712,12,FALSE,N,FALSE,FALSE,N
1015222,Wayfair LLC - CASTLEGATE UK,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,1600.07,369.25,63,31,FALSE,N,FALSE,FALSE,N
1000311,Rugs Galore,E-TAILER,NICHE,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1003733,Rugsdoneright.Com,E-TAILER,NICHE,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1001361,"Bed, Bath and Beyond",E-TAILER,MASS,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1001260,Macys.Com,E-TAILER,MASS,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1003734,Rugsusa.Com,E-TAILER,NICHE,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1003751,Net Shops.Com-Hayneedle,E-TAILER,MASS,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1003762,Rugsale.Com LLC,E-TAILER,NICHE,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1003756,Bellacor.Com,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,925.0,0.0,4,0,FALSE,N,FALSE,FALSE,N
1004122,Caron's Beach House,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1004691,"Unbeatablesale.com, Inc.",E-TAILER,MASS,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,455.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1005190,"StudioLX, Inc.",E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,307.5,0.0,3,0,FALSE,N,FALSE,FALSE,N
1003803,"Rugs Direct Usa, Inc.",E-TAILER,NICHE,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1006037,"Jeanne K Chung, Inc.",E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1006530,Robot Foods dba Boldrugs.com,E-TAILER,NICHE,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1006699,Mintwood Home LLC - mintwoodhome.com,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1006867,Black Forest Decor,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1007284,Handloom Emporium dba The Rug Mall,E-TAILER,NICHE,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,885.0,0.0,2,0,FALSE,N,FALSE,FALSE,N
1007808,Christmas Central,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1008181,"Mond'art, Inc. dba Rugman.com",E-TAILER,NICHE,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,4760.0,0.0,8,0,FALSE,N,FALSE,FALSE,N
1008573,Universe Rugs,E-TAILER,NICHE,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1005637,Sit Down NY - Memoky.com,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1005743,Homelement,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1005774,"Froy Group, Inc.",E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1005804,"DB Industrial Supply, LLC",E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1005813,Hooker Furniture dba Homeware,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1005814,"Defining Elegance, LLC",E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1005971,TSCSHOPS.com dba Peazz.com,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1005495,Zola,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,1330.5,0.0,23,0,FALSE,N,FALSE,FALSE,N
1012596,Chairish,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,336.0,0.0,1,0,FALSE,N,FALSE,FALSE,N
1011902,"Bed, Bath and Beyond LTL",E-TAILER,MASS,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1011788,Belle and June,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,75.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1010193,"Rugs and Art, Inc. - ECOMM - DO NOT RE-OPEN",E-TAILER,NICHE,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1010038,Anani Designs LLC DBA CottageandBungalow.com,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1009423,dearkeaton.com,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,5696.01,0.0,3,0,FALSE,N,FALSE,FALSE,N
1009299,National Business Furniture,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1008894,Cymax Group Technologies Ltd,E-TAILER,MASS,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
1015472,Painted Fox Home,E-TAILER,SPECIALTY,Group 3 Low Potential,Jaipur Web Team,Jaipur Web Team,0.0,0.0,0,0,FALSE,N,FALSE,FALSE,N
